<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.03	15:00:00	2655.22	2656.32	2653.43	2655.44	2047	0	12
2025.01.03	15:15:00	2655.43	2656.34	2647.85	2649.44	2324	0	13
2025.01.03	15:30:00	2649.50	2651.24	2643.45	2645.59	2097	0	12
2025.01.03	15:45:00	2645.56	2651.46	2645.56	2649.86	1953	0	12
2025.01.03	16:00:00	2649.87	2650.31	2646.92	2647.25	2283	0	12
2025.01.03	16:15:00	2647.26	2649.44	2645.11	2649.21	2184	0	12
2025.01.03	16:30:00	2649.34	2652.64	2648.31	2650.81	2256	0	12
2025.01.03	16:45:00	2650.80	2650.80	2646.16	2647.90	2283	0	12
2025.01.03	17:00:00	2647.75	2648.31	2643.42	2645.86	3324	0	12
2025.01.03	17:15:00	2645.81	2646.14	2640.91	2642.49	2903	0	12
2025.01.03	17:30:00	2642.50	2646.15	2642.09	2645.11	2454	0	12
2025.01.03	17:45:00	2645.14	2645.84	2643.35	2643.96	1917	0	12
2025.01.03	18:00:00	2643.86	2647.22	2643.43	2643.60	2155	0	12
2025.01.03	18:15:00	2643.59	2643.61	2640.61	2641.31	2219	0	12
2025.01.03	18:30:00	2641.31	2643.55	2641.03	2642.28	1724	0	12
2025.01.03	18:45:00	2642.25	2642.25	2639.15	2639.92	1382	0	12
2025.01.03	19:00:00	2639.91	2642.66	2639.45	2641.50	1324	0	14
2025.01.03	19:15:00	2641.41	2642.29	2640.60	2641.76	986	0	13
2025.01.03	19:30:00	2641.77	2642.10	2639.13	2640.98	1293	0	13
2025.01.03	19:45:00	2640.95	2642.25	2640.92	2641.80	1302	0	13
2025.01.03	20:00:00	2641.82	2642.19	2640.06	2640.29	1053	0	13
2025.01.03	20:15:00	2640.29	2641.22	2639.64	2641.17	1510	0	13
2025.01.03	20:30:00	2641.13	2642.31	2641.01	2641.41	1310	0	13
2025.01.03	20:45:00	2641.44	2642.10	2640.51	2641.91	1337	0	13
2025.01.03	21:00:00	2641.90	2642.89	2641.15	2641.95	906	0	13
2025.01.03	21:15:00	2641.90	2642.05	2640.49	2641.34	897	0	13
2025.01.03	21:30:00	2641.39	2642.15	2640.85	2640.99	727	0	13
2025.01.03	21:45:00	2640.98	2641.30	2639.11	2639.47	1013	0	13
2025.01.03	22:00:00	2639.38	2640.13	2638.52	2639.26	901	0	13
2025.01.03	22:15:00	2639.27	2639.69	2638.56	2639.27	777	0	13
2025.01.03	22:30:00	2639.26	2639.69	2637.23	2638.16	812	0	13
2025.01.03	22:45:00	2638.36	2638.48	2637.00	2638.30	922	0	13
2025.01.03	23:00:00	2638.22	2638.63	2637.30	2637.50	376	0	13
2025.01.03	23:15:00	2637.49	2637.77	2637.09	2637.72	350	0	13
2025.01.03	23:30:00	2637.72	2639.71	2636.66	2639.62	544	0	13
2025.01.03	23:45:00	2639.62	2640.41	2638.79	2639.20	408	0	67
2025.01.06	01:00:00	2639.69	2641.10	2639.65	2641.06	314	0	20
2025.01.06	01:15:00	2641.04	2642.40	2640.81	2641.75	446	0	19
2025.01.06	01:30:00	2641.75	2642.19	2640.42	2641.99	555	0	19
2025.01.06	01:45:00	2642.00	2642.15	2640.60	2641.00	607	0	20
2025.01.06	02:00:00	2641.00	2641.71	2638.96	2639.18	653	0	20
2025.01.06	02:15:00	2639.15	2640.09	2638.61	2639.38	627	0	18
2025.01.06	02:30:00	2639.38	2639.98	2638.91	2639.17	561	0	17
2025.01.06	02:45:00	2639.13	2643.25	2638.93	2643.18	1051	0	20
2025.01.06	03:00:00	2643.18	2644.81	2640.77	2644.59	1997	0	22
2025.01.06	03:15:00	2644.57	2647.37	2644.57	2645.59	1857	0	17
2025.01.06	03:30:00	2645.50	2645.64	2642.82	2643.44	1326	0	16
2025.01.06	03:45:00	2643.62	2644.11	2641.29	2641.36	1371	0	16
2025.01.06	04:00:00	2641.34	2644.15	2639.74	2643.68	1474	0	16
2025.01.06	04:15:00	2643.68	2644.35	2641.99	2643.38	778	0	16
2025.01.06	04:30:00	2643.68	2645.27	2642.91	2644.06	1115	0	16
2025.01.06	04:45:00	2644.06	2644.94	2643.42	2644.51	1104	0	16
2025.01.06	05:00:00	2644.51	2645.25	2643.31	2643.77	1130	0	16
